model,split_policy,group_type,group,n,ade_meters,fde_meters,rmse_meters,mae_meters
kalman_filter_cv,vessel_disjoint_test,turn_bin,turn_5_15,4962,3276.278676148809,6019.4060496285165,2985.728844929797,2047.8985450102462
linear_lstsq,vessel_disjoint_test,region,east_gulf_coast,22030,9227.84370875382,16563.755014342252,8461.14454374625,6034.100976402819
linear_lstsq,vessel_disjoint_test,region,hawaii_pacific,274,1469.6707807495134,3168.233241901936,1268.9153722791057,891.3190388396075
linear_lstsq,vessel_disjoint_test,region,other,770,7034.947773998371,15635.802467585432,6835.080080596892,4479.78608134062
linear_lstsq,vessel_disjoint_test,region,west_coast,4637,3389.7116077299574,7385.949879005577,3193.931980722842,2159.9323324988272
linear_lstsq,vessel_disjoint_test,speed_bin,sog_0_2,19932,9171.575872053047,15903.903518425821,8335.843759191885,6031.113109344749
linear_lstsq,vessel_disjoint_test,speed_bin,sog_15_50,475,13151.473738226154,30540.244648285756,13093.90276254985,8070.776468707323
linear_lstsq,vessel_disjoint_test,speed_bin,sog_2_8,4971,3282.362421326302,7096.708741352296,3078.275139867903,2085.0043985894386
linear_lstsq,vessel_disjoint_test,speed_bin,sog_8_15,2333,8339.333606927916,19406.290644135926,8207.55423347562,5242.256858869195
linear_lstsq,vessel_disjoint_test,turn_bin,turn_0_5,12854,3428.411160635328,7806.203968884639,3299.647228449486,2141.4102039590957
linear_lstsq,vessel_disjoint_test,turn_bin,turn_15_45,5810,8655.289882609155,15683.972322322448,7782.719455584693,5547.328534105648
linear_lstsq,vessel_disjoint_test,turn_bin,turn_45_180,4085,20332.795837737736,34704.32144199531,18285.94384531306,13365.18102501179
linear_lstsq,vessel_disjoint_test,turn_bin,turn_5_15,4962,9554.934892154433,15885.501463914383,8966.268691629411,6507.069206611898
lstm_baseline,vessel_disjoint_test,region,east_gulf_coast,22030,37526.47790254671,37454.429002511904,27337.424239102915,23552.267926876964
lstm_baseline,vessel_disjoint_test,region,hawaii_pacific,274,78765.27610298288,63477.19344632806,57195.246037791505,50294.314053517235
lstm_baseline,vessel_disjoint_test,region,other,770,279048.36092276545,282378.218179177,198849.709852657,185099.5410357391
lstm_baseline,vessel_disjoint_test,region,west_coast,4637,75565.31630934763,75537.91855044368,53919.60252970359,50095.618736899094
lstm_baseline,vessel_disjoint_test,speed_bin,sog_0_2,19932,44801.91513823895,43940.845883090165,32378.563004590553,28802.9334196062
lstm_baseline,vessel_disjoint_test,speed_bin,sog_15_50,475,111518.54883772242,118867.4898346056,80658.84253201651,71271.30250417006
lstm_baseline,vessel_disjoint_test,speed_bin,sog_2_8,4971,50919.26930621749,51614.32442139545,36755.369289720205,32563.765957098713
lstm_baseline,vessel_disjoint_test,speed_bin,sog_8_15,2333,91929.20382674313,94877.22834721702,66292.76389591415,58992.16329981751
lstm_baseline,vessel_disjoint_test,turn_bin,turn_0_5,12854,54801.83943551089,55587.23959915141,39569.28709015585,35049.38638096517
lstm_baseline,vessel_disjoint_test,turn_bin,turn_15_45,5810,42764.0736115544,41789.00476544521,31028.165597016003,27274.043979490623
lstm_baseline,vessel_disjoint_test,turn_bin,turn_45_180,4085,55945.12885211653,54913.61773414069,40251.5577448483,36697.76761099443
lstm_baseline,vessel_disjoint_test,turn_bin,turn_5_15,4962,46782.67640753962,46066.05286322271,33802.81240534905,29939.48940096826
ridge_lstsq,vessel_disjoint_test,region,east_gulf_coast,22030,3307.186913671223,5999.576494364638,2953.770293557713,2050.9159080246395
ridge_lstsq,vessel_disjoint_test,region,hawaii_pacific,274,1650.6282817600134,3342.298689500917,1393.7318850527533,1032.1824013451028
ridge_lstsq,vessel_disjoint_test,region,other,770,7482.229515232869,15753.090739942822,7100.164054770173,4732.9544934818905
ridge_lstsq,vessel_disjoint_test,region,west_coast,4637,3546.7182739724635,7308.544486354483,3253.8450780433423,2276.693286599519
ridge_lstsq,vessel_disjoint_test,speed_bin,sog_0_2,19932,2717.6841940022146,4532.489757577555,2339.727131915153,1685.7627758306016
ridge_lstsq,vessel_disjoint_test,speed_bin,sog_15_50,475,13568.452020024548,29787.284757152273,13160.987976294851,8328.450305748598
ridge_lstsq,vessel_disjoint_test,speed_bin,sog_2_8,4971,3282.975232264343,6775.3194453968035,3032.275030802048,2085.592935817941
ridge_lstsq,vessel_disjoint_test,speed_bin,sog_8_15,2333,7965.4879025156715,17546.250147452753,7736.090181076301,5032.909187594205
